Type Name,Base Type,Value Name,Value,Comment,Source,
file,enum,,,,,
,,locations,8,Directory=Location,,
,,records,29,Directory=Records,,
,,multi_sport,33,Directory=MltSport,,
,,clubs,37,Directory=Clubs,,
,,score_card,38,Directory=SCORCRDS,,
,,metrics,44,Directory=Metrics,,
,,sleep,49,Directory=Sleep,,
,,chrono_shot_session,54,,,
,,pace_band,56,Directory=PaceBands,,
,,ecg,61,,,
,,calendar,65,Directory=Calendar,,
,,hrv_status,68,Directory=HRVStatus,,
,,lha_backup,72,Firstbeat Lifetime Health? Directory=FbtBackup,,
,,ptd_backup,74,Firstbeat Performance Training Data? Directory=FbtPtdBackup,,
,,schedule,77,Directory=Coach,,
mesg_num,uint16,,,,,
,,data_screen,14,sport,,data_screen
,,alert,16,sport,,alert
,,range_alert,17,sport,,range_alert
,,device_used,22,activity,,device_used
,,location,29,location,,location
,,map_layer,70,sport,,map_layer
,,routing,71,sport,,routing
,,user_metrics,79,activity,,user_metrics
,,open_water_event,89,activity,,open_water_event
,,device_status,104,activity,,device_status
,,best_effort,113,activity,,best_effort
,,personal_record,114,records,,personal_record
,,activity_metrics,140,activity,,activity_metrics
,,epo_status,141,activity,,epo_status
,,multisport_settings,143,multi_sport,,multisport_settings
,,multisport_activity,144,multi_sport,,multisport_activity
,,sensor_settings,147,sport,,sensor_settings
,,metronome,152,sport,,metronome
,,connect_iq_field,170,sport,,connect_iq_field
,,clubs,173,clubs,,clubs
,,waypoint_handling,189,location,,waypoint_handling
,,golf_course,190,score_card,,golf_course
,,golf_stats,191,score_card,,golf_stats
,,score,192,score_card,,score
,,hole,193,score_card,,hole
,,shot,194,score_card,,shot
,,alarm_settings,222,settings,,alarm_settings
,,mesg_233?,233,activity,,mesg_233?
,,music_info,243,activity,,music_info
,,sleep_data_info,273,sleep,7,sleep_data_info
,,mesg_288?,288,activity,,mesg_288?
,,mtb_cx,309,sport,,mtb_cx
,,race,310,pace_band,,race
,,split_time,311,pace_band,,split_time
,,power_mode,321,sport,,power_mode
,,mesg_324?,324,activity,,mesg_324?
,,mesg_325?,325,activity,,mesg_325?
,,gps_event,326,activity,,gps_event
,,mesg_327?,327,activity,,mesg_327?
,,ecg_summary,336,ecg,7,ecg_summary
,,ecg_raw_sample,337,ecg,7,ecg_raw_sample
,,ecg_smooth_sample,338,ecg,7,ecg_smooth_sample
,,functional_metrics,356,metrics,7,functional_metrics
,,race_event,358,activity,,race_event
,,training_readiness,369,metrics,7,training_readiness
,,training_load,378,metrics,7,training_load
,,sleep_schedule,379,settings,,sleep_schedule
,,sleep_restless_moments,382,sleep,7,sleep_restless_moments
,,cpe_status,394,activity,,cpe_status
,,hill_score,402,metrics,7,hill_score
,,endurance_score,403,metrics,7,endurance_score
,,nap,412,lha_backup,7,nap
,,workout_schedule,428,activity,,workout_schedule
,,msg_432?,432,activity,,msg_432?
alarm_label,enum,,,,7,
,,none,0,,,
,,wake_up,1,,,
,,workout,2,,,
,,reminder,3,,,
,,appointment,4,,,
,,training,5,,,
,,class,6,,,
,,meditate,7,,,
,,bedtime,8,,,
alarm_repeat,uint32z,,,,,
,,mon,0x0001,,,
,,tue,0x0002,,,
,,wed,0x0004,,,
,,thu,0x0008,,,
,,fri,0x0010,,,
,,sat,0x0020,,,
,,sun,0x0040,,,
,,once,0x0080,,,
alert_metric,enum,,,,,
,,time,0,,,
,,distance,1,,,
,,calories,2,,,
,,ascent,3,,,
,,descent,4,,,
,,reps,5,,,
,,smart,7,,,
,,pacing,8,,,
alert_zone,enum,,,,,
,,off,0,,,
,,custom,1,,,
,,zone_1,101,,,
,,zone_2,102,,,
,,zone_3,103,,,
,,zone_4,104,,,
,,zone_5,105,,,
allow,enum,,,,,
,,do_not_allow,0,,,
,,allow,1,,,
antplus_device_type,uint8,,,,,
,,running_dynamics,30,,,
auto_lap_mode,enum,,,,,
,,time,0,,,
,,distance,1,,,
,,position,2,,,
,,manual_only,6,,,
auto_pause_setting,enum,,,,,
,,off,0,,,
,,when_stopped,1,,,
,,custom,2,,,
auto_scroll_mode,enum,,,,,
,,off,0,,,
,,slow,1,,,
,,medium,2,,,
,,fast,3,,,
avoidances,uint16,,,,,
,,u_turns,0x0001,,,
,,toll_roads,0x0002,,,
,,major_highways,0x0004,,,
,,unpaved_roads,0x0008,,,
,,carpool_lanes,0x0010,,,
,,interstate_hwy,0x0020,,,
,,ferries,0x0040,,,
,,narrow_trails,0x0080,,,
,,climbing_paths,0x0100,,,
benefit,enum,,,,,
,,no_benefit,0,,,
,,recovery,1,,,
,,base,2,,,
,,tempo,3,,,
,,threshold,4,,,
,,vo2_max,5,,,
,,anaerobic,6,,,
,,sprint,7,,,
calculation_method,enum,,,,,
,,minimize_time,0,,,
,,minimize_distance,1,,,
,,minimize_ascent,3,,,
climb_detection,enum,,,,,
